column_name,description,symbol,unit,type,example_value,nullable,group
yield_stress__mpa_,Measured yield stress,,MPa,DecimalFloat,397.8143069,True,Material properties
elastic_modulus__mpa_,Measured elastic modulus,,MPa,DecimalFloat,202083.802,True,Material properties
fracture_strain,Measured fracture strain,,-,DecimalFloat,1.118311687,True,Material properties
c,Carbon content,,wt%,DecimalFloat,0.09,True,Chemical composition
si,Silicon content,,wt%,DecimalFloat,0.24,True,Chemical composition
mn,Manganese content,,wt%,DecimalFloat,1.38,True,Chemical composition
p,Phosphorus content,,wt%,DecimalFloat,0.018,True,Chemical composition
s,Sulfur content,,wt%,DecimalFloat,0.021,True,Chemical composition
n,Nitrogen content,,wt%,DecimalFloat,0.0037,True,Chemical composition
cu,Copper content,,wt%,DecimalFloat,0.23,True,Chemical composition
mo,Molybdenum content,,wt%,DecimalFloat,0.04,True,Chemical composition
ni,Nickel content,,wt%,DecimalFloat,0.14,True,Chemical composition
cr,Chromium content,,wt%,DecimalFloat,0.1,True,Chemical composition
v,Vanadium content,,wt%,DecimalFloat,0.041,True,Chemical composition
nb,Niobium content,,wt%,DecimalFloat,0.008,True,Chemical composition
ti,Titanium content,,wt%,DecimalFloat,0.002,True,Chemical composition
al,Aluminum content,,wt%,DecimalFloat,0.011,True,Chemical composition
b,Boron content,,wt%,DecimalFloat,0.0001,True,Chemical composition
zr,Zirconium content,,wt%,DecimalFloat,0.001,True,Chemical composition
sn,Tin content,,wt%,DecimalFloat,0.002,True,Chemical composition
ca,Calcium content,,wt%,DecimalFloat,0.0002,True,Chemical composition
h,Hydrogen content,,wt%,DecimalFloat,0.0002,True,Chemical composition
fe,Iron content,,wt%,DecimalFloat,97.5,True,Chemical composition
file,Path to raw data file,,-,String,Clean_Data/S355J2_HEM320/WP3_HEM320_D_CRM20/LP4_Specimen_1_processed_data.csv,True,Experimental program details
reference,Publication reference,,-,String,El Jisr H. Lignos D.G. (2022),True,Experimental program details
link,URL to publication,,-,String,https://infoscience.epfl.ch/record/292178,True,Experimental program details
latitude,Testing facility latitude,,deg,DecimalFloat,46.5191,True,Experimental program details
longitude,Testing facility longitude,,deg,DecimalFloat,6.5668,True,Experimental program details
citekey,Citation key for reference,,-,String,ElJisrRoleCompositeFloor2022,True,Experimental program details
uvc_phi__prct_,UVC model parameter phi,,%,DecimalFloat,5.449895087,True,Cyclic material model parameters
uvc_e__mpa_,UVC model elastic modulus,,MPa,DecimalFloat,181.0519,True,Cyclic material model parameters
uvc_sigma__mpa_,UVC model stress parameter,,MPa,DecimalFloat,411.1091,True,Cyclic material model parameters
uvc_q__mpa_,UVC model parameter Q,,MPa,DecimalFloat,116.3773,True,Cyclic material model parameters
uvc_b,UVC model parameter b,,-,DecimalFloat,16.56587,True,Cyclic material model parameters
uvc_d__mpa_,UVC model parameter D,,MPa,DecimalFloat,131.8686,True,Cyclic material model parameters
uvc_a,UVC model parameter a,,-,DecimalFloat,188.0333,True,Cyclic material model parameters
uvc_c1__mpa_,UVC model parameter C1,,MPa,DecimalFloat,21161.27,True,Cyclic material model parameters
uvc_g1,UVC model parameter γ1,,-,DecimalFloat,210.4413,True,Cyclic material model parameters
uvc_c2__mpa_,UVC model parameter C2,,MPa,DecimalFloat,1706.608,True,Cyclic material model parameters
uvc_g2,UVC model parameter γ2,,-,DecimalFloat,16.5007,True,Cyclic material model parameters
hidden_dataset_index,Internal dataset index,,-,SmallInteger,4,False,Experimental program details
uvc_sigma_sat__mpa_,UVC model saturation stress,,MPa,DecimalFloat,599.6008399,True,Cyclic material model parameters
uvc_sigma_hard__mpa_,UVC model hardening stress,,MPa,DecimalFloat,320.3603399,True,Cyclic material model parameters
uvc_rho_yield,UVC model yield ratio,,-,DecimalFloat,1.458495664,True,Cyclic material model parameters
uvc_rho_iso,UVC model isotropic ratio,,-,DecimalFloat,0.363269998,True,Cyclic material model parameters
uvc_rho_kin,UVC model kinematic ratio,,-,DecimalFloat,0.636730002,True,Cyclic material model parameters
uvc_rho_d,UVC model damage ratio,,-,DecimalFloat,0.411625859,True,Cyclic material model parameters
